Hanzi,Meaning
星期二,Tuesday
星期三,Wednesday
星期四,Thursday
星期六,Saturday
星期天,Sunday
周末,weekend
数字,numeral  digit  number
公共汽车,bus
前天,the day before yesterday
昨天,yesterday
今天,today  at the present
明天,tomorrow
后天,the day after tomorrow
星期一,Monday
刷牙,to brush one's teeth
脚踝,ankle
身体,(human) body<br>
胸,chest
膝盖,knee
皮肤,skin
手腕,wrist
腿,leg
手,hand
肚子,belly  abdomen  stomach
我,I  me
我们,we  us
你,you
您,you (courteous）
漂亮,pretty
高兴,happy (w/ g) glad
开心,to feel happy  to rejoice (stronger than 高兴)
美,beautiful
热,hot (of weather)
冷,cold
少,"few, little"
多,many much a lot
小,small
轻声,quietly  softly
错误,error  mistake
家,home  family
学校,school
饭店,restaurant (w/ f)
商店,store  shop
医院,hospital
火车,train
火车站,train station
中国,China
北京,Beijing
好,good<br>very
大,big
能,can<div>to be able to <br></div>
会,"will, to know how to, to have the ability to"
认识,to recognize  to be familiar with
想,to think  to believe  to want
喜欢,to like  to be fond of
爱,to love  love
橙色,orange (color)
紫色,purple  violet (color)
灰色,gray
白色,white
黑色,black
粉色,pink
蓝色,blue (color)
绿色,green
黄色,yellow (color)
红色,red (color)
褐色,brown
喂,hello (when answering the phone)
上,up
下,down
前面,ahead  in front
后面,behind
里面,inside  interior
上午,morning (w/ s)
中午,noon
下午,afternoon
年,year
月,moon  month
星期,week
点,point  dot
分钟,minute
现在,now  at present
时候,time  period
爸爸,(informal) father
妈妈,mama  mother
儿子,son
女儿,daughter
老师,teacher (w/&nbsp;老)
学生,student
同学,classmate
朋友,friend
医生,doctor
先生,Mister (Mr.)  husband
小姐,young lady  miss
衣服,clothes
水,water
菜,<div>dish (type of food)  </div>
米饭,(cooked) rice
水果,fruit
苹果,apple
茶,tea
杯子,cup
钱,money
飞机,airplane
出租车,taxi
电视,television  TV
电脑,computer
电影,movie  film
天气,weather
猫,cat
狗,dog
东西,"thing, stuff"
人,man  person&nbsp;
名字,name (of a person or thing)
书本,book
汉语,Chinese language (w/ h)<br>
字,character
桌子,table  desk
椅子,chair
一月,January
二月,February
三月,March
四月,April
五月,May
六月,June
七月,July
八月,August
九月,September
十月,October
十一月,November
十二月,December
下雨,to rain
工作,to work  job
学习,to learn  to study
住,to live (at a location) to dwell
坐,"to sit  to take (a bus, airplane etc)"
开,to open  to turn on
买,to buy
做,to do  to make
打电话,to make a telephone call
睡觉,to sleep  <div>to go to sleep&nbsp;</div>
喝,to drink
吃,to eat
去,to go
回,to return
来,to come
叫,to shout  to call
写,to write
说话,to speak (w/ sh) to talk
听,to listen
看,"<span class=""tone4""><div>to see</div><div>to watch</div></span>"
有,to have  there are
是,to be
没关系,it doesn't matter<br>
没问题,no problem
对不起,I'm sorry  excuse me
"请<span class=""Apple-tab-span"" style=""white-space:pre""> </span>",to invite  please (do sth)  to treat (to a meal etc)
再见,goodbye
不客气,you're welcome  don't mention it
谢谢,thank you
都,all <br>both <br>(used for emphasis) even <br>
太,too (much)
很,very
在,(located) at  (to be) in
岁,classifier for years (of age)
本,"volume classifier for books, periodicals, files etc"
些,some  several
零,zero
一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
谁,who <br>
什么,what?  something
多少,how much?<br>
几,how many&nbsp;(less than ten)<br>several<br>
怎么,how
这儿,here
那儿,there
每,each  every
为什么,why?  for what reason?
大家,everyone
它,it
快乐,happy (w/ k)
错,wrong
阴,"overcast, cloudy, shady<br>Yin, feminine, negative, moon"
贵,expensive  noble
便宜,cheap  inexpensive
新,new
长,long
累,tired
好吃,delicious
近,near  close
远,far<div>distant</div>
慢,slow
快,fast
忙,busy <br>
高,tall<div>high</div>
可能,<div>possible</div><div>possibly</div> might<br>may
要,<div>to ask for (strong)</div><div>will</div>
可以,can (w/ k) <div>able to</div>
希望,to wish for hope
知道,to know  <div>to find out</div>
觉得,to think  to feel
完,to finish
篮球,basketball
打篮球,to play basketball
足球,soccer ball  soccer
踢,to kick  to play (e.g. soccer)
踢足球,to play soccer
游泳,swimming  to swim
运动,<div>to move</div><div>movement</div><div>exercise<br></div>to exercise
休息,rest  to rest
生病,to fall ill
上班,to go to work  to start work
旅游,travel (touristic sense) to travel
跳舞,to dance
唱歌,to sing a song
起床,to get out of bed  to get up
不,not (w/ b) no
没,not<br>negative prefix for verbs
别,other  do not
非常,very (w/ f)
也,also
还,still<div>also<br></div>
最,most (superlative)
真,really  truly
已经,already
一起,together (people)
再,again (in the future)
因为,because
所以,so&nbsp; as a result&nbsp;
但是,but (strong) however
向,towards<br>to face
从,from
玩,to play
帮助,to help&nbsp;
介绍,to introduce (sb to sb)  introduction
开始,to begin  beginning
准备,preparation  to prepare
告诉,to tell  to let know
回答,to reply (w/ _答)<br>to answer <br>the answer <br>
笑,laugh  smile
懂,to understand (w/ d)<br>to comprehend <br>
找,to search
给,to give
洗,to wash  to bathe
穿,to wear
跑步,to jog
进,to enter (w/ j)
走,to walk
问,to ask
颜色,color
意思,meaning
票,ticket
考试,exam&nbsp;<div>to take an exam  </div>
事情,affair  matter &nbsp;
问题,question <br>problem <br>
姓,family name
课,class <br>lesson <br>
题目,subject (w/ t) topic
门口,doorway  gate
报纸,newspaper
眼睛,eye
手表,wrist watch
手机,cell phone
药物,medicine (in general - not 药片）<br>drug <br>
雪,snow
船,boat  ship
自行车,bicycle  bike
咖啡,coffee
西瓜,watermelon
鸡蛋,(chicken) egg
牛奶,cow's milk
羊肉,mutton  goat meat
鱼,fish
服务,to serve  service
服务员,waiter  waitress  attendant
女人,"<span class=""tone2"">woman&nbsp;</span>"
男人,a man
孩子,child
妻子,wife (w/ q)
丈夫,husband
妹妹,younger sister
弟弟,younger brother
姐姐,older sister
哥哥,older brother
生日,birthday
时间,period of time
去年,last year
小时,hour
晚上,evening
早上,morning <br>
旁边,side
外面,outside
右边,right side <br>
左边,left side
路,road  <div>journey</div>
房间,room
教室,classroom (w/ j)<br>
飞机场,airport
风水,feng shui
饺子,dumpling  pot-sticker
幸福,happiness  happy  blessed
亲近,intimate <br>close<br><div>to get close to <br></div>
表兄妹,cousins
兄弟姐妹,brothers and sisters<div>siblings</div>
姐妹,sisters
兄弟,brothers
高考,college entrance exam
记者,reporter  journalist
作文,composition (student essay)&nbsp;<div>to write an essay  </div>
长胖,to get fat
胖,fat  plump
火腿,ham
习惯,habit <br>custom <br><div>to be used to</div>
饼,round flat cake<div>pastry  </div>
煎饼,chinese pancake <br>
日记,diary
照顾,to take care of  to look after
着急,to worry (w/ zh) to feel anxious
遇到,to meet (w/ a&nbsp;yù)<br>to encounter<br>
一般,ordinary<br>so-so<br>common
银行,bank
音乐,music
应该,ought to  should
游戏,game
眼镜,spectacles  eyeglasses
要求,<div>requirement (w/ y)</div><div>to require&nbsp;</div>
洗手间,restroom (w/ x)
洗澡,to bathe <br>
香蕉,banana
相信,to believe (w/ x)<br><div>to trust</div>
忘记,to forget
图书馆,library
阿姨,mother's younger sister<br>
矮,short (in height)<br>
爱好,hobby
安静,quiet  peaceful
把,measure word for objects with handle
班,class (as in group of people)<div>team  </div>
搬,to move (house)
办法,method (w/ b) way (of doing sth)
办公室,office  business premises
半,half
帮忙,help (not 帮助)<div>to help</div>
饱,full&nbsp; satisfied
北方,the northern part a country  China north of the Yellow River
被,indicates passive-voice clauses
鼻子,nose
比较,to compare  comparatively
比赛,competition (sports etc)  match
笔记本,notebook (stationery)  notebook (computing)
必须,to have to (w/ b) must
变化,change  to change
表示,to express  to show
表演,play <br>performance (far less formal than 演出)<br>
别人,other people  others
冰箱,refrigerator
菜单,menu
参加,to participate
草,grass
层,layer
差异,difference  discrepancy
超市,supermarket
衬衫,shirt
成绩,grades <br>
城市,city<br>
迟到,to arrive late
出现,to appear  to arise  to emerge  to show up
出,out&nbsp;
厨房,kitchen
春天,spring (season)
词语,word (general term including monosyllables through to short phrases)  term (e.g. technical term)
聪明,clever  intelligent
打扫,to clean  to sweep
打算,to plan  plan
一共,altogether
例如,for example (w/ l) for instance
健康,health  healthy
锻炼,to work out (w/ d)<br>
发现,to discover
发生,to happen
普通话,Putonghua
相同,identical (stronger than same)<br>
楼,floor (w/ l)<div>story</div><div>building</div>
会议,conference <br><div>meeting</div>
会议室,conference room
旧,old  worn (with age)
蛋糕,cake
甜,sweet
害怕,to be afraid (w/ h)<br>to be scared <br>
认为,to believe (w/ r)
机会,opportunity  chance
画画儿,to paint a painting
花,flower <br>
电子邮件,email
电子,electronic  electron (particle physics)
兴趣,interest (n.)<br>
照片,photograph<br><br>picture<br><br>
照相,"to take a photograph (formal photo of people, not 拍照)<br>"
空调,air conditioning  air conditioner
当然,of course
灯火,lamp <br>light
低,low  to lower
地方,place
地铁,subway  metro
地图,map
电梯,elevator  escalator
东,east
西,west
南,south
北,north
动物,animal
短,short  brief
饿,hungry
而且,moreover (w/ er)<br>in addition <br>
耳朵,ear
发烧,to have a fever
饭馆,restaurant
方便,convenient
放,to put  to place
放心,to feel relieved
关心,to be concerned about (w/ g)<div>concern (not attention)</div>
担心,anxious (w/ d)<div>worried<br>to be anxious&nbsp;</div><div>to worry<br></div>
感冒,to catch cold  <div>cold</div>
坏,to break<div>broken</div>
换,to change (w/ h) to exchange
奇怪,strange  to be baffled
动物园,zoo
熊猫,panda
米,meter
历史,history
数学,mathematics
物理,physics
同意,to agree
疼,to hurt<div>painful</div>
上山,to go up a hill
下山,to go down a hill<div>to set (of the sun)</div>
难,difficult<div>difficulty</div>
容易,easy
见面,to meet (见_)<br><div>a meeting</div>
附近,(in the) vicinity  nearby
复习,to review
干净,clean  neat
敢,to dare  daring
刚才,just now
跟,with
根据,according to
更,even more
公斤,kilogram (kg)
斤,catty  weight equal to 0.5 kg
公司,(business) company
公园,park (for public recreation)
故事,story
刮风,to be windy
关系,relationship
关于,concerning  with regard to  about
国家,country  nation
果汁,fruit juice
过去,the past&nbsp;<div>in the past<br>to pass by <br></div>
还是,or  still
和,"union, peace, harmony<br>together"
河,river (w/ h)
黑板,blackboard
护照,passport
画,to draw&nbsp;<div>to paint <div>painting  </div></div>
欢迎,to welcome  welcome
环境,environment  circumstances
或者,or (not 还是) perhaps
几乎,almost (w/ 几)<br>nearly <br>
极,"extreme, utmost, top<br>pole (science)"
记得,to remember
季节,season <br>period <br>
检查,to inspect&nbsp;(NOT investigate - 调查)<br>inspection&nbsp;<br>
简单,simple
件,piece (w/ j)
作用,effect (w/ z)<br>
作业,homework (w/ z)<br>
最近,recently
总是,always (w/ z)<br>
自己,oneself  one's own
字典,character dictionary
注意,to take note of (starting w/ zh)
讲,to speak (w/ j)<br><div>to tell</div>
教,to teach
角,<div>corner</div>horn  horn-shaped
脚,foot
街道,street  residential district
结婚,to marry
结束,to finish (w/ j) to end
节目,programme<br><div>item on a programme</div>
节日,holiday  festival
解决,to solve
借,to lend (w/ j)<br>to borrow <br>
经常,often (w/ j)
楼梯,stair  staircase
梯子,ladder
主人,host  owner
客人,guest <br><div>visitor</div>
严格,strict  rigorous
方言,dialect
巧克力,chocolate
耐性,patience <br>
粗心,thoughtless&nbsp;<div>careless  </div>
假期,vacation
复活节,Easter
自然,nature  natural &nbsp;
海滩,beach (w/ h)
排队,to line up
放松&nbsp;,to relax (w/ fang)
火箭,rocket
海南,Hainan&nbsp;
无聊,bored  boring  senseless
电视剧,TV show soap opera
演员,actor or actress  performer
那个时候,at the time
演出,"to perform (play, music,...)<br><div>performance (more formal than 表演)</div>"
玩具,toy
首饰,jewelry
毛巾,towel
上衣,jacket  upper outer garment
蔬菜,vegetables (two characters) produce
肉,meat  flesh
原来,original <br>originally (w/ y)<br>all along
价格,price
还好。。。,fortunately (w/ h)<br>
很可惜。。。,unfortunately
原来如此,So that's how it is<div>So it's always been that way...</div>
傻子,idiot  fool
抓,to grab&nbsp; to snatch&nbsp;&nbsp; to arrest
清华大学,Qinghua University
面试,to interview (job)<br>interview <br>
地理,geography
文科,humanities&nbsp;<div>liberal arts  </div>
理科,the sciences (as opposed to the humanities)
科学,science <br>scientific <br>
猜,to guess
高中,high school
初中,middle school
小学,elementary school
论文,paper  treatise  thesis
课外活动,extra-curricular activities
暑假,summer vacation
幼儿园,kindergarten
华氏度,degrees Fahrenheit
国际,international
婴儿,infant (w/ y)<br>baby <br>
视频,video
新闻,news (w/&nbsp;新)<br>
和平,peace (n.)<br>
社会,society
星系,galaxy
探测,to explore  exploration
经典,<div>classic (emphasizing good - not 古典)</div>
舒服,comfortable
古诗,classical Chinese verse
论语,The Analects of Confucius
孔夫子,Confucius
<div>办公桌</div>,desk
然后,then (afterwards)
听力,listening ability
被子,covers<div>quilt  </div>
细心,<div>thoughtful</div>attentive (of taking care of people)<div>careful </div>
经理,manager  director
久,(long) time  (long) duration of time
举行,"to hold (a meeting, ceremony etc)<br><br>"
句子,sentence
决定,to decide (to do something)  decision
渴,thirsty
可爱,cute
口,"mouth  classifier for things with mouths (people, domestic animals, cannons, wells etc)  classifier for bites or mouthfuls"
哭,to cry  to weep
裤子,trousers  pants
块,chunk  piece
筷子,chopsticks
老,"old,&nbsp;venerable&nbsp;"
离开,to depart  to leave
礼物,gift  present
脸,face
练习,to practice  <div>practice</div>
了解,to understand (w/&nbsp;了)<br>
邻居,neighbor
马,horse
德国,Germany
以为,to think (erroneously)
同事,colleague  co-worker
生气,to get angry  angry
外婆,maternal grandmother
四川省,Sichuan province<br>
火锅,hotpot
辣,hot (spicy)
分手,to break up (of a couple)
在一起,to be together (of a couple)
互联网,the Internet (w/ h)<br>
食谱,recipe (w/ s)<br>
尝试,to try  to attempt
天真,naive
战争,war
爱情,"<div><span style=""color: var(--text-fg);"">love (as a concept)</span></div><div><span style=""color: var(--text-fg);"">romance&nbsp;</span><br></div>"
一文不值,totally worthless (idiom)
从来,always &nbsp;(w/ c) never (if used in negative sentence)
如此,like this
无情,pitiless heartless
开玩笑,<div>to joke</div>to make fun of
老板,boss
天哪!,Heavens!
解雇,to fire (w/ j)<br><br>to terminate employment<br><br>
复杂,complicated  complex
咱们,you and I (we)
地道,"authentic (food, etc.)<br>"
背叛,to betray
真心,sincere (w/ 真)<br>heartfelt <br>
钥匙,key
一切,everything
留,to leave (a message etc)  to stay
钱包,purse  wallet
姓名,name and surname
科学家,scientist
上海,Shanghai
常见,commonly seen
麻烦,inconvenient  troublesome
师傅,master  qualified worker  respectful form of address for older men
泳裤,swim trunks
小心,to be careful <br>to take care <br>
危险,danger  dangerous
水族馆,aquarium (building or park)
鲨鱼,shark
站地,stop (on a bus or train route)
山羊,goat
羊,sheep
火鸡,turkey
狼,wolf
老鼠,rat  mouse
蛇,snake  serpent
狮子,lion
牛,ox  cow  bull
大象,elephant
鸟,"<span class=""tone3""><font color=""#ffffff"">bird&nbsp;</font></span>"
猪,pig
长颈鹿,giraffe
鸡,chicken
螃蟹,crab
龙虾,lobster
羊羔,lamb
你最近过得好吗？,How have you been recently?
零食,snacks
野餐,picnic  to have a picnic
"<span class=""Apple-tab-span"" style=""white-space:pre""> </span>化学",chemistry <br>
长城,the Great Wall
故宫,the Forbidden City
景点,scenic spot  place of interest (tourism)
洗衣机,washing machine
修理,to repair  to fix
到现在,until now
友好,friendly
支持,to be in favor of  to support
政策,policy
沙发,sofa&nbsp;
搭把手,<div>to give a hand&nbsp;</div> to help out
卧室,bedroom
客厅,living room
肯定,certain (w/ k)<br>
需要,to need (w/ x)
重要,important  significant
适合,to fit  to suit
合适,suitable (w/ h)<br>fitting <br>
讨厌,to dislike  to loathe
值得,to be worth  to deserve
嘴巴,mouth
下巴,chin
唇,lips<br>
睫毛,eyelashes
眉毛,eyebrow
额头,forehead
脸颊,cheek
头,head
头发,hair (on the head)
背,back (anotomical)
骨头,bone
肌肉,muscle
脖子,neck
手指,finger
血液,blood
沉,to sink<br>heavy
教授,professor
会话,conversation (w/ h)<br>
从头开始,To start from the top<div>To start from the beginning</div>
行李,luggage
手提箱,suitcase
登机门,boarding gate
飞机票,air ticket
随身行李,carry-on bag
登机牌,boarding pass
飞行员,pilot (plane)
航班,flight (as in airline flight)<br>
签证,visa
座位,seat
窗口的座位,window seat
靠走廊的座位,aisle seat
走廊,aisle  hallway
窗户,window <br>
中间停,layover (airport)
中间,between  middle
回家,to return home
蜘蛛,spider
安全,safe  secure
聚会,party  gathering  to get together
脏,dirty <br>filthy <br>
顺利,smoothly  without a hitch
世界,world
认真,sincere (w/ 认)<br>dedicated<br>serious <br>
社区,community
影响,influence  effect  to influence  to affect (usually adversely)
脑子,brain&nbsp; mind
严重,grave  serious  critical
爆发,to erupt <br><div>to break out&nbsp;<br></div>
火山,volcano
圣诞节,Christmas
跟。。。很像,similar to...
难过,to feel sad  <div>sad</div>
古怪,eccentric (w/&nbsp;古)<div>odd<br><div>queer</div></div>
疼爱,to love dearly
优点,strong point  advantage
外向,outward-looking  extroverted
内向,inward-looking  introverted
建立,"to establish, to found (w/ j)<br>"
交流,to exchange <br>interaction <br>to have social contact (with sb)
眼泪,tears  crying
马上,right away  immediately
强,strong  powerful
冠军,champion<br><div>championship</div>
网球,tennis
稍后,in a little while  later on
亚洲,Asia
欧洲,Europe
非洲,Africa
澳洲,Australia (the continent)
南极洲,Antarctica
北美洲,North America
南美洲,South America
当时,at that time (w/ d)<br>
兴奋,excited (w/ x)<br>excitement <br>
面对,to confront  to face
困难,straitened circumstances  difficult situation
似乎,apparently <br>to seem (w/ s)<br>seemingly <br>
许多,many (w/ x)<br>a lot of <br>much <br>
伤心,to grieve  to be broken-hearted  to feel deeply hurt
家庭成员,family member
反正,anyway  in any case
傲慢,Pride
尴尬,awkward  embarrassed
享受,to enjoy [smth]
等待,to wait (two character) to wait for
热闹,bustling with noise and excitement  lively
无数,countless  innumerable
样子,appearance  manner&nbsp;
另外,additional (w/ l)<br>in addition &nbsp;<br>moreover <br>furthermore <br>
放假,to go on a holiday or vacation
成功,success&nbsp;<div>successful to succeed  </div>
流行,popular  fashionable
翻译,to translate  translation
翻译成,to translate into
既然...,since ... this being the case ...
话题,subject (of a talk or conversation)  topic
感兴趣,to be interested
活动,activity
正式,formal  official
行为,conduct  behavior
秘密,secret
机长,captain (of airplane)<br>chief pilot <br>
降落,to land (a plane)<div>landing<br><div>to descend</div></div>
起飞,(of an aircraft) to take off
常规,routine  <div>conventional</div>
夜间,nighttime  evening or night (e.g. classes)
新疆,Xinjiang
洗脑,to brainwash
风景,scenery  landscape
结果,outcome (w/ j)<br>result <br>
选择,to select  to pick
经历,experience (w/ a 历)<br>to experience <br>
以及,as well as  too  and
魔鬼,devil
文章,article (w/&nbsp;文)<br>essay <br>
乘客,passenger
恐慌,panic  panic-stricken
开飞机,to fly a plane
爆炸,explosion  to explode
轮子,wheel
手动,manual <br>
跟着,to follow [smth] (w/ g)<br>
坠毁,(of an airplane) to crash
微笑,to smile (v.)<br>
保持,to maintain  to hold
姿势,posture (w/ z)<br>position <br>
着陆,touchdown (as in landing of a plane)
番茄,tomato (w/&nbsp;番)
草莓,strawberry
蓝莓,blueberry
樱桃,cherry
柠檬,lemon
梨,pear
葡萄,grape
葡萄柚,grapefruit
菠萝,pineapple
李子,plum
解渴,to quench thirst
黄瓜,cucumber
有人,someone
元,yuan (unit of money)
司机,driver<div>chauffeur  </div>
出租车司机,taxi driver
广东省,Guangdong<br>
沙漠,desert (hot place)<br>
警察,police  police officer
颗,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
椰子,coconut <br>
茄子,eggplant
小黄瓜,Zucchini
芒果,mango
洋葱,onion&nbsp;
菠菜,spinach
杏,apricot
石榴,pomegranate
沙拉,salad
青豆,green soybean  green peas
猕猴桃,kiwi fruit
荔枝,lychee fruit
胡椒,black pepper
芹菜,celery
大蒜,garlic
萝卜,radish<br>
洋白菜,Western cabbage
棵,"classifier for trees, cabbages, plants etc"
项,"classifier for principles, items, clauses, tasks, etc"
轻松,light  gentle  relaxed
蘑菇,mushrooms<br>
生菜,<div>lettuce&nbsp;</div>
土豆,potato
玉米,corn  maize
西红柿,tomato (w/ 西)
胡萝卜,carrot <br>
韭菜,chives<div>Chinese leek  </div>
芭蕉,plantain (Japanese banana)
笋,bamboo shoot
豆类,beans
莲藕,lotus root
巴基斯坦,Pakistan
近日,in the last few days  <div>recently&nbsp;</div>
特殊,special  particular  unusual  extraordinary
通知,to notify  to inform  notice  notification
由于,due to  as a result of
人数,number of people
人口,population  people
消息,news (w/&nbsp;消)<br>information <br>
情况,circumstances  situation
博物馆,museum
江西省,Jiangxi Province<br>
蛋壳,eggshell
制品,products (w/ zh)<br>goods <br>
乳制品,dairy products
冰淇淋,ice cream
黄油,butter
奶酪,cheese
奶油,cream (dairy)
酸奶,yogurt
冰冻食品,frozen food products
食品,food products<div>foodstuff <br>provisions <br></div>
青蛙,frog<br>
鸭子,duck <br>
鹦鹉,parrot <br>
乌龟,tortoise <br>
蜥蜴,lizard <br>
老鼠,rat <br>mouse <br>
鳄鱼,alligator <br>crocodile <br>
端午节,the Dragon Boat Festival (5th day of the 5th lunar month) <br>
河南省,Henan province<br>
好吃,tasty <br>delicious <br>
公园,park (for public recreation) <br>
菜园,vegetable garden <br>
花园,(flower) garden <br>
马拉松,marathon (loanword) <br>
各种各样,all sorts and varieties <br>
啤酒,beer<br>
英雄,hero <br>
云南省,Yunnan<br>
长大,to grow up (resultative complement)<br>
美术,art (w/ m)<br>fine arts <br>painting <br>
西安市,Xi’an<br>
推出,to push out <br>to release <br>to launch <br>
游客,traveler  tourist
兵马俑,Terracotta Army
程序,computer program <br><div>procedure</div>
护士,nurse
圣保罗,St Paul <br>São Paulo<br>
密尔沃基,Milwaukee<br>
纽约,New York <br>
摄氏度,degrees celsius<br>
零下40度,40 below zero
沸点,boiling point <br>
冰点,freezing point <br>
煮沸,to boil <br>
温度,temperature <br>
体温,(body) temperature <br>
发明,to invent <br>invention <br>
水温,water temperature <br>
气温,air temperature <br>
相反,opposite <br>contrary <br>
等于,to equal <br>to be tantamount to <br>
语言,language <br>
食物,food <br>
营养,nutrition <br>nourishment <br>
