铁棒,鐵棒,tiěbàng,iron rod
反弹,反彈,fǎntán,to bounce back (lit. and fig.); to rebound; backlash
高热量,高熱量,gāo rèliàng,high calorie (of food)
驼背,駝背,tuóbèi,hunched; stooping; hunchback
后背,後背,hòubèi,the back (human anatomy); the back of something
感激,感激,gǎnjī,to appreciate (smth); to be grateful
逃课,逃課,táokè,to skip class
宽容,寬容,kuānróng,tolerant; lenient; indulgent
物化,物化,wùhuà,to objectify
辣妹,辣妹,làmèi,hot girls
好莱坞,好萊塢,hǎo lái wù,Hollywood
丝袜,絲襪,sīwà,stocking; pantyhose
角斗士,角鬥士,jué dòushì,gladiator
野蛮,野蠻,yěmán,barbaric; uncivilized
比喻,比喻,bǐyù,metaphor; analogy
变态,變態,biàntài,abnormal; perverted; a pervert; hentai
偷窥狂,偷窺狂,tōukuī kuáng,a vouyeur; a peeping Tom
惰性,惰性,duòxìng,apathy; inertia; laziness; inert (chemistry)
热血沸腾,熱血沸騰,rèxuè fèiténg,to be fired up; to have one's blood racing
竞争对手,競爭對手,jìngzhēng duìshǒu,competitor; rival
挺胸,挺胸,tǐng xiōng,upright/chest out
