情绪化,情緒化,qíngxù huà,moody; emotional
阀门,閥門,fámén,valve (mechanical)
生闷气,生悶氣,shēng mèn qì,to seethe (with anger); to be pissed off (vulgar)
爱滋病,愛滋病,àizī bìng,AIDS
自发,自發,zìfā,spontaneous; to take the initiative
发泄,發洩,fāxiè,to vent (one's feelings)
吸尘器,吸塵器,xīchén qì,vacuum cleaner
波动,波動,bōdòng,to undulate; to fluctuate; to swing
憋尿,憋尿,biē niào,to hold (one's pee)
憋气,憋氣,biē qì,to hold one's breath
备用,備用,bèiyòng,reserve; backup
非盈利,非盈利,fēi yínglì,non-profit
排泄物,排泄物,páixiè wù,excrement; waste
排泄,排泄,páixiè wù,"to excrete (urine, sweat, etc.)"
识别,識別,shíbié,to distinguish; to recognize; to discern
完蛋,完蛋,wándàn,to be done for; to be screwed
空虚,空虛,kōngxū,hollow; empty; void; meaninglessness
信念,信念,xìnniàn,faith; conviction
血清素,血清素,xuèqīng sù,serotonin
情绪,情緒,qíngxù,mood; state of mind; moodiness; emotion
调节,調節,tiáojié,to regulate; to adjust
情绪波动,情緒波動,qíngxù bōdòng,mood swings
让人恐惧,讓人恐懼,ràngrén kǒngjù,terrifying
备用计划,備用計劃,bèiyòng jìhuà,backup plan
我有两个星期没睡了,我有兩個星期沒睡了,wǒ yǒu liǎng gè xīngqī méi shuì le,I haven't spoken in two weeks
