喷泉,噴泉,pēn quán,fountain
百叶窗,百葉窗,bǎi yè chuāng,shutters; blinds
蒲公英,蒲公英,pú gōng yīng,dandelion
砾石,礫石,lì shí,gravel; pebbles
看板,看板,kàn bǎn,billboard
广告牌,廣告牌,guǎng gào pái,billboard
吊桥,吊橋,diào qiáo,suspension bridge
码头,碼頭,mǎ tóu,dock; pier
游艇,遊艇,yóu tǐng,yacht
马房,馬房,mǎ fáng,horse stable
农场,農場,nóng chǎng,farm
谷仓,穀倉,gǔ cāng,barn
纸袋,紙袋,zhǐ dài,paper bag
报纸,報紙,bào zhǐ,newspaper
旅社,旅社,lǚ shè,hostel
活动房屋,活動房屋,huó dòng fáng wū,mobile home; trailer
草地,草地,cǎo dì,lawn; meadow; turf
公布栏,公佈欄,gōng bù lán,bulletin board
蕨类,蕨類,jué lèi,fern; bracken
板凳,板凳,bǎn dèng,wooden bench or stool
棕榈,棕櫚,zōng lǘ,palm tree
车道,車道,chē dào,traffic lane; driveway
走道,走道,zǒu dào,pavement; sidewalk; footpath
木瓦,木瓦,mù wǎ,shingle
围墙,圍牆,wéi qiáng,fence
灌木,灌木,guàn mù,bush; shrub
天沟,天溝,tiān gōu,(rainwater) gutter
金门大桥,金門大橋,jīnmén dàqiáo,the Golden Gate Bridge
人行道,人行道,rén xíng dào,sidewalk
公寓大楼,公寓大樓,gōng yù dà lóu,apartment building
天桥,天橋,tiānqiáo,overhead bridge (like they have all over China)
地下通道,地下通道,dì xià tōng dào,underpass; subway; tunnel
路灯,路燈,lù dēng,street lamp; street light
罚单,罰單,fá dān,(violation) ticket
违章,違章,wéi zhāng,to break the rules; to violate regulations
警笛,警笛,jǐng dí,siren
虐待,虐待,nüè dài,to mistreat; to abuse; mistreatment
逮捕,逮捕,dài bǔ,to arrest (with d); to apprehend; an arrest
看守所,看守所,kān shǒu suǒ,detention center
刑期,刑期,xíng qī,prison term
坐牢,坐牢,zuò láo,to be imprisoned
派出所,派出所,pài chū suǒ,local police station (small local)
警察局,警察局,jǐng chá jú,police station; police department; police headquarters
小丑,小丑,xiǎo chǒu,clown
忍者神龟,忍者神龜,Rěn zhě Shén guī,Teenage Mutant Ninja Turtles
天线,天線,tiān xiàn,antenna; mast
面包车,麵包車,miàn bāo chē,van
锡,錫,xī,tin (chemistry)
邮票,郵票,yóu piào,(postage) stamp
邮筒,郵筒,yóu tǒng,mailbox (larger ones)
裁判,裁判,cái pàn,to judge; judgment; to referee; umpire
停车计时器,停車計時器,tíng chē jì shí qì,parking meter
歪,歪,wāi,askew (w/ w); at a crooked angle; devious
天平,天平,tiān píng,scales (to weigh things)
备注,備註,bèi zhù,remark; note
