一句话,一句話,yījù huà,a sentence
一项项目,一項項目,yī xiàng xiàngmù,a project
一扇门,一扇門,yī shàn mén,a door
一列火车,一列火車,yī liè huǒchē,a train
一串珠子,一串珠子,yī chuàn zhūzi,a string of beads
一滴水,一滴水,yī dī shuǐ,a drop of water
一桶油,一桶油,yī tǒng yóu,a barrel of oil
两桌客人,兩槕客人,liǎng zhuō kèrén,two tables of guests
一轮会谈,一輪會談,yī lún huìtán,a round of talks
一排椅子,一排椅子,yī pái yǐzi,a row of chairs
一份报纸,一份報紙,yī fèn bàozhǐ,a (copy of a) newspaper
一具尸体,一具屍體,yī jù shītǐ,a corpse
一包大米,一包大米,yī bāo dàmǐ,a sack of rice
一罐葡萄酱,一罐葡萄醬,yī guàn pútáo jiàng,a jar of grape jam
一粒米,一粒米,yī lì mǐ,a grain of rice
一卷卫生纸,一卷衛生紙,yī juàn wèishēngzhǐ,a roll of toilet paper
一堂课,一堂課,yī táng kè,a class
一朵云,一朵雲,yī duǒ yún,a cloud
一堵墙,一堵牆,yī dǔ qiáng,a wall
一顿饭,一頓飯,yī dùn fàn,a meal
一架飞机,一架飛機,yī jià fēijī,an airplane
一束花,一束花,yī shù huā,a bunch of flowers
一束光,一束光,yī shù guāng,a beam of light
一团面,一團麵,yī tuán miàn,a lump of dough
一局棋,一局棋,yī jú qí,a game of chess
一盒糖果,一盒糖果,yī hé tángguǒ,a box of candy
一阵掌声,一陣掌聲,yī zhèn zhǎngshēng,a burst of applause,
一面镜子,一面鏡子,yī miàn jìngzi,a mirror
一台电脑,一臺電腦,yī tái diànnǎo,a computer
一户人家,一戶人家,yī hù rénjiā,a household
一栋楼,一棟樓,yī dòng lóu,a building
一节课,一節課,yī jié kè,a class (period)
一封信,一封信,yī fēng xìn,a letter
下一班火车,下一班火車,xià yī bān huǒchē,the next train
一盘菜,一盘菜,yī pán cài,a plate of food
一副笑脸,一副笑臉,yī fù xiàoliǎn,a smiling face
这趟火车,这趟火車,zhè tàng huǒchē,this train (as in this scheduled trip)
一款新鞋子,一款新鞋子,yī kuǎn xīn xiézi,a new style of shoe
一门外语,一門外語,yī mén wàiyǔ,a foreign language
一棵植物,一棵植物,yī kē zhíwù,a plant
一堆垃圾,一堆垃圾,yī duī lājī,a pile of trash
一队战士,一隊戰士,yī duì zhànshì,a file of soldiers
一拨人,一撥人,yī bō rén,a group of people
一道题,一道題,yīdào tí,a question
一出戏,一出戲,yī chū xì,an opera
一幅画,一幅畫,yī fú huà,a painting
一根头发,一根頭髮,yī gēn tóufǎ,a strand of hair
一对夫妇,一對夫婦,yī duì fūfù,a married couple
一所学校,一所學校,yī suǒ xuéxiào,a school
一笔钱,一筆錢,yī bǐ qián,a sum of money
一间卧室,一間臥室,yī jiàn wòshì,a bedroom
一把刀,一把刀,yī bǎ dāo,a knife
三口人,三口人,sān kǒu rén,three people
一盏灯,一盞燈,yī zhǎn dēng,a lamp
一组学生,一組學生,yī zǔ xuéshēng,a group of students
一颗星星,一顆星星,yī kē xīngxīng,a star
一声炮响,一聲炮響,yī shēng pào xiǎng,the sound of a cannon
一首歌,一首歌,yī shǒugē,a song
一股香味,一股香味,yī gǔ xiāngwèi,a whiff of fragrance
一番功夫,一番功夫,yī fān gōngfū,a lot of effort
一批学生,一批學生,yī pī xuéshēng,a batch of students
一支笔,一支筆,yī zhī bǐ,a pen
一届论坛,一屆論壇,yī jiè lùntán,a forum (for discussion)
一群人,一群人,yī qún rén,a crowd (or large group) of people
一层灰尘,一層灰塵,yī céng huīchén,a layer of dust
一则广告,一則廣告,yī zé guǎnggào,an advertisement
