茶几,茶几,chá jī,small side table; coffee table
硬木,硬木,yìng mù,hardwood
遥控器,遙控器,yáo kòng qì,remote control
乐福鞋,樂福鞋,lè fú xié,loafer shoes (loanword)
落地灯,落地燈,luò dì dēng,floor lamp
单人沙发,單人沙發,dān rén shā fā,(upholstered) armchair
扶手椅,扶手椅,fú shǒu yǐ,armchair
扬声器,揚聲器,yáng shēng qì,speaker
花瓶,花瓶,huā píng,flower vase
绘画,繪畫,huì huà,painting (decoration)
肖像,肖像,xiào xiàng,portrait (painting/photo etc)
录像机,錄像機,lù xiàng jī,video recorder; VCR
壁炉,壁爐,bì lú,fireplace
做脸,做臉,zuò liǎn,to have a facial (beauty treatment)
草丛,草叢,cǎo cóng,underbrush
雨棚,雨棚,yǔ péng,awning
栅栏,柵欄,zhà lán,fence
草坪,草坪,cǎo píng,lawn
模板,模板,mú bǎn,template
产权,產權,chǎn quán,property rights
嬉皮士,嬉皮士,xī pí shì,hippie (loanword)
委员会,委員會,wěi yuán huì,committee
收容所,收容所,shōu róng suǒ,temporary shelter; hospice; refuge (e.g. for animals)
暴乱,暴亂,bào luàn,riot; rebellion; revolt
储备,儲備,chǔ bèi,reserves; to store up
空洞,空洞,kōng dòng,cavity; empty; vacuous; bare
停靠,停靠,tíng kào,to dock; to berth; to call at; to stop at
气味,氣味,qì wèi,odor; scent
杂志架,雜誌架,zázhìjià,magazine rack
架,架,jià,rack;framework (furniture)
专注于,專注於,zhuānzhù yú,to specialize in...
壁炉架,壁爐架,bìlú jià,mantel (of a fireplace)
硬木地板,硬木地板,yìngmù dìbǎn,hardwood floor
DVD播放机,DVD播放機,DVD bōfàng jī,DVD player
路对面,路對面,對面,across the street; the other side of the street
墙板,牆板,qiángbǎn,siding (of a house or structure)
雨棚,雨棚,yǔpéng,awning
遮阳棚,遮陽棚,zhēyángpéng,awning
