Hanzi,Meaning,Reading,Color,Mean Word,Sound,Simplified,Traditional,Also Written,Ruby,Silhouette,
滑稽,funny (w/ h)<div>comical</div><div>amusing</div>,huájī,滑稽,,,,,,,,
不禁,"""can't help (doing something)""",bùjīn,不禁,,,,,,,_ _,
湖面,surface of a lake,húmiàn,湖面,,,,,,,,
打翻,<div>to knock over</div>to overturn<div>to overthrow</div>,dǎfān,打翻,,,,,,,_ _,
友谊,friendship<div>companionship</div>,yǒuyì,友谊,,,,,,,,
核心,core<div>nucleus</div>,héxīn,核心,,,,,,,,
精通,to master<div>to be proficient in<br><div>to be well-versed in</div></div>,"""<span class=""""tone1"""">jīng</span><span class=""""tone1"""">tōng</span> <!-- jing tong -->""","""<span class=""""tone1"""">精</span><span class=""""tone1"""">通</span>""",,[sound:精通_google_zh-CN.mp3],,,,"""<span class=""""tone1""""><ruby>精<rt>jīng</rt></ruby></span><span class=""""tone1""""><ruby>通<rt>tōng</rt></ruby></span>""",_ _,
今晚,tonight,jīnwǎn,今晚,,,,,,,,
整齐,orderly (w/ zh)<div>neat</div><div>tidy</div>,zhěngqí,整齐,,,,,,,_ _,
伟大,huge (w/ w)<div>great (important)</div>,wěidà,伟大,,,,,,,,
辞掉,"""to quit (one's job)<div>to dismiss (an employee)</div>""","""<span class=""""tone2"""">cí</span><span class=""""tone4"""">diào</span> <!-- ci diao -->""","""<span class=""""tone2"""">辞</span><span class=""""tone4"""">掉</span>""",,[sound:辞掉_google_zh-CN.mp3],,辭掉,,"""<span class=""""tone2""""><ruby>辞<rt>cí</rt></ruby></span><span class=""""tone4""""><ruby>掉<rt>diào</rt></ruby></span>""",_ _,
最后两个字,the last two characters,zuìhòu liǎng gè zì,最后两个字,,,,,,,,
A是B的核心,A is central to B,A shì B de héxīn,A是B的核心,,,,,,,,
烫,to scald/to burn,tàng,烫,,,,,,,,
难道,could it be that...,nándào,难道,,,,,,,,
顿,meal (measure word),dun4,顿,,,,,,,,
朵,measure word for flowers,duǒ,朵,,,,,,,,
份,measure word for parts<br>measure word for gifts,fèn,份,,,,,,,,
之,of (formal),zhī,之,,,,,,,,
向周围看,to look around,xiàng zhōuwéi kàn,向周围看,,,,,,,_ _ _ _,
