完,完,wán,complete; finish; settle; whole
设,設,shè,build; establish; display
式,式,shì,style; system; formula; rule
色,色,sè,color; tint; hue; shade; form; body; beauty; desire for beauty
路,路,lù,road; path; street; journey
记,記,jì,record; keep in mind; remember
南,南,nán,south; southern part; southward
品,品,pǐn,article; product; commodity
住,住,zhù,reside; live at; dwell; lodge; stop
告,告,gào,tell; announce; inform; accuse
类,類,lèi,class; group; kind; category
求,求,qiú,seek; demand; request; beseech
据,據,jù,to occupy; take possession of; a base; position
程,程,chéng,journey; trip; schedule; agenda
北,北,běi,north; northern; northward
边,邊,biān,edge; margin; side; border
死,死,sǐ,die; dead; death
张,張,zhāng,stretch; extend; expand; sheet
该,該,gāi,should; ought to; need to
交,交,jiāo,mix; intersect; exchange; communicate; deliver
规,規,guī,rules; regulations; customs; law
万,萬,wàn,ten thousand; innumerable
取,取,qǔ,take; receive; obtain; select
拉,拉,lā,pull; drag; seize; hold; lengthen
格,格,gé,pattern; standard; form; style
望,望,wàng,to look at; look forward; to hope; expect
觉,覺,jué,to wake up from sleep; conscious
术,術,shù,art; skill; special feat; method; technique
领,領,lǐng,neck; collar; lead; guide
共,共,gòng,together with; all; total; to share
确,確,què,sure; certain; real; true
传,傳,chuán,summon; propagate; transmit
师,師,shī,teacher; master; specialist
观,觀,guān,see; observe; view; appearance
清,清,qīng,clear; pure; clean; peaceful
今,今,jīn,now; today; modern era
切,切,qiè,cut; mince; slice; carve
院,院,yuàn,courtyard; yard; court; school
让,讓,ràng,allow; permit; yield; concede
识,識,shí,recognize; understand; know
候,候,hòu,wait; expect; visit; greet
带,帶,dài,belt; girdle; band; strap; zone
导,導,dǎo,direct; guide; lead; conduct
争,爭,zhēng,dispute; fight; contend; strive
运,運,yùn,run; simplified form of 運 luck; fortune; ship; transport
笑,笑,xiào,smile; laugh; giggle; snicker
飞,飛,fēi,fly; go quickly; dart; high
风,風,fēng,wind; air; manners; atmosphere
步,步,bù,step; pace; walk; stroll
改,改,gǎi,change; alter; improve; remodel
收,收,shōu,gather together; collect; harvest
根,根,gēn,root; base(d on); foundation
干,幹,gàn,oppose; offend; invade; dried
造,造,zào,construct; build; make; begin; prepare
言,言,yán,words; speech; speak; say
联,聯,lián,connect; join; associate; ally
持,持,chí,sustain; support; hold; grasp
组,組,zǔ,class; section; department
每,每,měi,every; each
济,濟,jì,help; aid; relieve; ferry; cross
车,車,chē,cart; vehicle; carry in cart
亲,親,qīn,relatives; parents; intimate the hazel nut or filbert tree a thorny tree
极,極,jí,extreme; utmost; furthest; final
